SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8615 S Aberdeen St,Chicago,IL,60620,187999,3,1.0,CHI - Auburn Gresham,1200,3125,1924,1,157,,Active,October-14-2023 11:00 AM,October-14-2023 03:00 PM,https://www.redfin.com/IL/Chicago/8615-S-Aberdeen-St-60620/home/12583482,MRED,11903981,N,Y,41.7373157,-87.6506948
MLS Listing,,Condo/Co-op,119 W Chestnut St #5,Chicago,IL,60610,1199000,3,3.5,CHI - Near North Side,3603,,1920,1,333,902,Active,,,https://www.redfin.com/IL/Chicago/119-W-Chestnut-St-60610/unit-5/home/183739596,MRED,11904131,N,Y,41.8977199,-87.6321383
MLS Listing,,Condo/Co-op,120 S State St #4,Chicago,IL,60603,599900,2,1.0,CHI - Loop,2300,,1926,1,261,935,Active,,,https://www.redfin.com/IL/Chicago/120-S-State-St-60603/unit-4/home/12813571,MRED,11904119,N,Y,41.8801548,-87.628112
MLS Listing,,Multi-Family (2-4 Unit),1508 E 75th St,Chicago,IL,60619,420000,6,3.0,CHI - South Shore,,3125,1906,1,,,Active,,,https://www.redfin.com/IL/Chicago/1508-E-75th-St-60619/home/184214122,MRED,11904113,N,Y,41.758984,-87.5879476
MLS Listing,,Condo/Co-op,2020 W Armitage Ave Unit 3E,Chicago,IL,60647,1099500,4,2.5,CHI - Logan Square,2400,,2021,1,458,200,Active,,,https://www.redfin.com/IL/Chicago/2020-W-Armitage-Ave-60647/unit-3E/home/174561326,MRED,11904098,N,Y,41.917917,-87.6785483
MLS Listing,,Condo/Co-op,1901 S Calumet Ave #2207,Chicago,IL,60616,599000,3,2.0,Harbor View,1625,,2007,1,369,1106,Active,,,https://www.redfin.com/IL/Chicago/1901-S-Calumet-Ave-60616/unit-2207/home/21785287,MRED,11902264,N,Y,41.8562269,-87.6185993
MLS Listing,,Condo/Co-op,680 N Lake Shore Dr #615,Chicago,IL,60611,544500,3,2.0,CHI - Near North Side,1600,,,1,340,1309,Active,,,https://www.redfin.com/IL/Chicago/680-N-Lake-Shore-Dr-60611/unit-615/home/14097117,MRED,11904081,N,Y,41.8946441,-87.6167234
MLS Listing,,Condo/Co-op,6525 N Nashville Ave Unit 206B,Chicago,IL,60631,235000,2,2.0,CHI - Norwood Park,1200,,1975,1,196,516,Active,,,https://www.redfin.com/IL/Chicago/6525-N-Nashville-Ave-60631/unit-206B/home/13593191,MRED,11900194,N,Y,41.9998958,-87.7905172
MLS Listing,,Condo/Co-op,1725 W Lemoyne St #2,Chicago,IL,60622,950000,3,2.5,CHI - West Town,2100,,2010,1,452,250,Active,,,https://www.redfin.com/IL/Chicago/1725-W-Le-Moyne-St-60622/unit-2/home/45511565,MRED,11857246,N,Y,41.9088839,-87.6711164
MLS Listing,,Condo/Co-op,88 W Schiller St Unit 2905L,Chicago,IL,60610,299500,1,1.0,Sandburg Village,,,1968,1,,651,Active,,,https://www.redfin.com/IL/Chicago/88-W-Schiller-St-60610/unit-2905L/home/14115058,MRED,11887497,N,Y,41.9080921,-87.6312196
MLS Listing,,Vacant Land,919 W 53rd Pl,Chicago,IL,60609,15000,,,CHI - New City,,2613,,1,,,Active,,,https://www.redfin.com/IL/Chicago/919-W-53rd-Pl-60609/home/187878927,MRED,11904055,N,Y,41.796648,-87.648319
MLS Listing,,Single Family Residential,7838 S Kilbourn Ave,Chicago,IL,60652,360000,4,2.0,CHI - Ashburn,1650,5458,1953,1,218,,Active,,,https://www.redfin.com/IL/Chicago/7838-S-Kilbourn-Ave-60652/home/13980245,MRED,11904049,N,Y,41.7499484,-87.7343886
MLS Listing,,Condo/Co-op,3019 N Damen Ave #2,Chicago,IL,60618,465000,2,2.0,CHI - North Center,,,2003,1,,138,Active,,,https://www.redfin.com/IL/Chicago/3019-N-Damen-Ave-60618/unit-2/home/12683015,MRED,11901421,N,Y,41.9365623,-87.6778955
MLS Listing,,Condo/Co-op,2300 W Wabansia Ave #133,Chicago,IL,60647,385000,1,1.5,Clock Tower Lofts,1046,,1906,1,368,466,Active,,,https://www.redfin.com/IL/Chicago/2300-W-Wabansia-Ave-60647/unit-133/home/13355341,MRED,11901442,N,Y,41.912746,-87.684343
MLS Listing,,Single Family Residential,8621 S Saginaw Ave,Chicago,IL,60617,165000,4,1.5,CHI - South Chicago,1104,,1925,1,149,,Active,,,https://www.redfin.com/IL/Chicago/8621-S-Saginaw-Ave-60617/home/13212280,MRED,11904022,N,Y,41.73838,-87.5597282
MLS Listing,,Multi-Family (2-4 Unit),222 W 119th St,Chicago,IL,60628,299800,6,2.0,CHI - West Pullman,,3750,1910,1,,,Active,,,https://www.redfin.com/IL/Chicago/222-W-119th-St-60628/home/13060752,MRED,11892657,N,Y,41.6781362,-87.6284225
MLS Listing,,Vacant Land,700 S California Ave,Chicago,IL,60612,129999,,,CHI - East Garfield Park,,5168,,1,,,Active,,,https://www.redfin.com/IL/Chicago/700-S-California-Ave-60612/home/148044340,MRED,11904036,N,Y,41.8726014,-87.6963054
MLS Listing,,Single Family Residential,26 W 114th St,Chicago,IL,60628,224900,5,3.0,CHI - Roseland,2100,3750,1910,1,107,,Active,,,https://www.redfin.com/IL/Chicago/26-W-114th-St-60628/home/13064007,MRED,11903566,N,Y,41.687365,-87.6239966
MLS Listing,,Condo/Co-op,8560 W Foster Ave #601,Norridge,IL,60706,339999,2,2.0,Cascades of Norridge,1445,,1996,1,235,416,Active,,,https://www.redfin.com/IL/Norridge/8560-W-Foster-Ave-60706/unit-601/home/13561827,MRED,11903985,N,Y,41.9741637,-87.8404708
MLS Listing,,Condo/Co-op,363 E Wacker Dr #5905,Chicago,IL,60601,2202599,3,3.0,CHI - Loop,2049,,2020,1,1075,1636,Active,,,https://www.redfin.com/IL/Chicago/363-E-Wacker-Dr-60601/unit-5905/home/105413733,MRED,11903971,N,Y,41.8874508,-87.6174598
MLS Listing,,Condo/Co-op,363 E Wacker Dr #5203,Chicago,IL,60601,2523287,3,3.0,CHI - Loop,2334,,2020,1,1081,1820,Active,,,https://www.redfin.com/IL/Chicago/363-E-Wacker-Dr-60601/unit-5203/home/187872240,MRED,11903964,N,Y,41.8874508,-87.6174598
MLS Listing,,Condo/Co-op,1150 N Lake Shore Dr Unit 9G,Chicago,IL,60611,215000,1,1.0,CHI - Near North Side,900,,1958,1,239,950,Active,,,https://www.redfin.com/IL/Chicago/1150-N-Lake-Shore-Dr-60611/unit-9G/home/14123647,MRED,11903965,N,Y,41.9035898,-87.6253846
MLS Listing,,Condo/Co-op,812 S Miller St Unit 3S,Chicago,IL,60607,384900,3,2.0,CHI - Near West Side,1300,,1986,1,296,280,Active,,,https://www.redfin.com/IL/Chicago/812-S-Miller-St-60607/unit-3S/home/179815711,MRED,11903958,N,Y,41.8713789,-87.6525848
MLS Listing,,Condo/Co-op,363 E Wacker Dr #1907,Chicago,IL,60601,1087344,1,1.5,CHI - Loop,1296,,2020,1,839,722,Active,,,https://www.redfin.com/IL/Chicago/363-E-Wacker-Dr-60601/unit-1907/home/105505118,MRED,11903961,N,Y,41.8874508,-87.6174598
MLS Listing,,Condo/Co-op,363 E Wacker Dr #1608,Chicago,IL,60601,2953038,3,2.5,CHI - Loop,2658,,2020,1,1111,1964,Active,,,https://www.redfin.com/IL/Chicago/363-E-Wacker-Dr-60601/unit-1608/home/187872038,MRED,11903952,N,Y,41.8874508,-87.6174598
MLS Listing,,Vacant Land,5238 S Princeton Ave,Chicago,IL,60609,25000,,,CHI - Fuller Park,,2800,,1,,,Active,,,https://www.redfin.com/IL/Chicago/5238-S-Princeton-Ave-60609/home/21877069,MRED,11903955,N,Y,41.798809,-87.633425
MLS Listing,,Vacant Land,5214 S Princeton Ave,Chicago,IL,60609,25000,,,CHI - Fuller Park,,2781,,1,,,Active,,,https://www.redfin.com/IL/Chicago/5214-S-Princeton-Ave-60609/home/40291130,MRED,11903946,N,Y,41.7994217,-87.6334747
MLS Listing,,Vacant Land,5210 S Princeton Ave,Chicago,IL,60609,25000,,,CHI - Fuller Park,,2781,,1,,,Active,,,https://www.redfin.com/IL/Chicago/5210-S-Princeton-Ave-60609/home/40291126,MRED,11903945,N,Y,41.799575,-87.633442
MLS Listing,,Condo/Co-op,633 S Plymouth Ct S #707,Chicago,IL,60605,179900,0,1.0,Pope Building Lofts,850,,1904,1,212,538,Active,,,https://www.redfin.com/IL/Chicago/633-S-Plymouth-Ct-60605/unit-707/home/12736077,MRED,11903924,N,Y,41.8734576,-87.6284325
MLS Listing,,Single Family Residential,4351 S Halsted St,Chicago,IL,60609,725000,3,3.5,CHI - New City,,6490,2023,1,,,Active,,,https://www.redfin.com/IL/Chicago/4351-S-Halsted-St-60609/home/147726335,MRED,11903936,N,Y,41.8146222,-87.645376
MLS Listing,,Vacant Land,5134 S Princeton Ave,Chicago,IL,60609,25000,,,CHI - Fuller Park,,2613,,1,,,Active,,,https://www.redfin.com/IL/Chicago/5134-S-Princeton-Ave-60609/home/21874888,MRED,11903942,N,Y,41.8007629,-87.6335125
MLS Listing,,Vacant Land,5018 S Princeton Ave,Chicago,IL,60609,25000,,,CHI - Fuller Park,,2613,,1,,,Active,,,https://www.redfin.com/IL/Chicago/5018-S-Princeton-Ave-60609/home/21872355,MRED,11903941,N,Y,41.802968,-87.63356
MLS Listing,,Vacant Land,4904 S Princeton Ave,Chicago,IL,60609,25000,,,CHI - Fuller Park,,,,1,,,Active,,,https://www.redfin.com/IL/Chicago/4904-S-Princeton-Ave-60609/home/146010094,MRED,11903939,N,Y,41.8052599,-87.633622
MLS Listing,,Vacant Land,4722 S Princeton Ave,Chicago,IL,60609,25000,,,CHI - Fuller Park,,2613,,1,,,Active,,,https://www.redfin.com/IL/Chicago/4722-S-Princeton-Ave-60609/home/40498822,MRED,11903937,N,Y,41.8084269,-87.6336741
MLS Listing,,Vacant Land,4462 S Princeton Ave,Chicago,IL,60609,25000,,,CHI - Fuller Park,,2750,,1,,,Active,,,https://www.redfin.com/IL/Chicago/4462-S-Princeton-Ave-60609/home/147726390,MRED,11903935,N,Y,41.8127274,-87.6337757
MLS Listing,,Condo/Co-op,812 S Miller St Unit 3N,Chicago,IL,60607,384900,3,2.0,CHI - Near West Side,1300,,1986,1,296,280,Active,,,https://www.redfin.com/IL/Chicago/812-S-Miller-St-60607/unit-3N/home/183828012,MRED,11903921,N,Y,41.8713789,-87.6525848
